"oblast","TVO_pres","desc_pres","TVO_parl","desc_parl","age_2014","pop_change_2014","region_ideology"
"Львівська область",118,"Сихівський район в місті Львові",116,"Залізничний район, частина Шевченківського району міста Львова (виборчі дільниці № 462109 – 462113, 462119 – 462129, 462137 – 462150, 462154)",39.4,-0.3,"orange"
"Львівська область",119,"Франківський район у місті Львові",117,"Галицький, Франківський райони, частина Шевченківського району міста Львова (виборчі дільниці № 462130 – 462136, 462153)",39.4,-0.3,"orange"
"Львівська область",120,"Личаківський, Шевченківський райони в місті Львові",118,"частина Личаківського (виборчі дільниці № 461929, 461930, 461932 – 461934, 461937 – 461939, 461943 – 461946, 461951 – 461953, 461960, 461961), частина Шевченківського (виборчі дільниці № 462095 – 462108, 462114 – 462118, 462151, 462152) районів міста Львова, Пустомитівський район",39.4,-0.3,"orange"
"Львівська область",123,"Бродівський, Буський, Золочівський, Перемишлянський райони",119,"Бродівський, Буський, Радехівський райони, частина Кам’янка-Бузького району (виборчі дільниці № 460614 – 460618, 460622, 460623, 460625 – 460643, 460649 – 460653, 460658, 460663, 460664, 460670 – 460679)",39.4,-0.3,"orange"
"Львівська область",124,"Городоцький, Мостиський, Яворівський райони",120,"Городоцький, Мостиський райони, частина Самбірського району (виборчі дільниці № 461059 – 461136, 461140 – 461147)",39.4,-0.3,"orange"
"Львівська область",127,"Дрогобицький район, міста Борислав, Дрогобич, Трускавець",121,"міста Борислав, Дрогобич, Трускавець, Дрогобицький район",39.4,-0.3,"orange"
"Львівська область",122,"Жовківський, Кам'янка-Бузький райони",122,"Жовківський, Яворівський райони",39.4,-0.3,"orange"
"Львівська область",125,"Миколаївський, Пустомитівський райони, місто Новий Розділ",123,"місто Новий Розділ, Золочівський, Миколаївський, Перемишлянський райони",39.4,-0.3,"orange"
"Львівська область",121,"Радехівський, Сокальський райони; місто Червоноград",124,"місто Червоноград, Сокальський район, частина Кам’янка-Бузького району (виборчі дільниці № 460619 – 460621, 460624, 460644 –460648, 460654, 460656, 460657, 460659 – 460662, 460665 – 460669)",39.4,-0.3,"orange"
"Львівська область",126,"Самбірський, Старосамбірський, Турківський райони, місто Самбір",125,"місто Самбір, Сколівський, Старосамбірський, Турківський райони, частина Самбірського району (виборчі дільниці № 461137 – 461139)",39.4,-0.3,"orange"
"Львівська область",128,"міста Моршин, Стрий, Жидачівський, Сколівський, Стрийський райони",126,"міста Моршин, Стрий, Жидачівський, Стрийський райони",39.4,-0.3,"orange"
"Миколаївська область",129,"Заводський, Центральний райони в місті Миколаєві",127,"місто Очаків, Заводський район міста Миколаєва, Миколаївський, Очаківський райони",40.4,-3.4,"grey"
"Миколаївська область",130,"Корабельний, Ленінський райони в місті Миколаєві",128,"Ленінський, Корабельний райони міста Миколаєва",40.4,-3.4,"grey"
"Миколаївська область",130,"Корабельний, Ленінський райони в місті Миколаєві",129,"Центральний район міста Миколаєва, Жовтневий район",40.4,-3.4,"grey"
"Миколаївська область",132,"Березанський, Веселинівський, Миколаївський, Новоодеський, Очаківський райони, місто Очаків",130,"Баштанський, Березнегуватський, Казанківський, Новобузький, Новоодеський, Снігурівський райони",40.4,-3.4,"grey"
"Миколаївська область",133,"Вознесенський, Врадіївський, Доманівський, Єланецький райони, міста Вознесенськ, Южноукраїнськ",131,"міста Вознесенськ, Южноукраїнськ, Березанський, Веселинівський, Вознесенський, Доманівський, Єланецький райони",40.4,-3.4,"grey"
"Миколаївська область",134,"Арбузинський, Братський, Кривоозерський, Первомайський райони, місто Первомайськ",132,"місто Первомайськ, Арбузинський, Братський, Врадіївський, Кривоозерський, Первомайський райони",40.4,-3.4,"grey"
"Одеська область",135,"Київський район у місті Одесі",133,"Київський район міста Одеси",39.6,0,"grey"
"Одеська область",136,"Малиновський район у місті Одесі",134,"частина Малиновського району міста Одеси (виборчі дільниці № 511159 – 511218, 511220, 511222 – 511244)",39.6,0,"grey"
"Одеська область",137,"Приморський район у місті Одесі",135,"Приморський район міста Одеси",39.6,0,"grey"
"Одеська область",138,"Суворовський район у місті Одесі",136,"частина Малиновського (виборчі дільниці № 511219, 511221), частина Суворовського (виборчі дільниці № 511340 – 511365, 511374 – 511434) районів міста Одеси",39.6,0,"grey"
"Одеська область",139,"місто Котовськ, Балтський, Кодимський, Котовський, Красноокнянський райони",137,"місто Котовськ, Балтський, Кодимський, Котовський, Красноокнянський, Савранський райони",39.6,0,"grey"
"Одеська область",140,"Ананьївський, Великомихайлівський, Любашівський, Миколаївський, Савранський, Фрунзівський, Ширяївський райони",138,"Ананьївський, Березівський, Іванівський, Любашівський, Миколаївський, Ширяївський райони, частина Комінтернівського району (виборчі дільниці № 510473 – 510498, 510521, 510522)",39.6,0,"grey"
"Одеська область",141,"місто Южне, Березівський, Іванівський, Комінтернівський, Роздільнянський райони",139,"місто Южне, частина Суворовського району міста Одеси (виборчі дільниці № 511366 – 511373), Великомихайлівський, Роздільнянський, Фрунзівський райони, частина Біляївського (виборчі дільниці № 510222, 510223, 510230, 510237, 510238, 510241 – 510243, 510246, 510248, 510249, 510252, 510257, 510263 – 510265, 510268, 510269, 510276, 510277), частина Комінтернівського (виборчі дільниці № 510499 – 510520, 510523, 511443) районів",39.6,0,"grey"
"Одеська область",142,"Біляївський, Овідіопольський райони, міста Іллічівськ, Теплодар",140,"міста Іллічівськ, Теплодар, Овідіопольський район, частина Біляївського району (виборчі дільниці № 510224 – 510229, 510231 – 510236, 510239, 510240, 510244, 510245, 510247, 510250, 510251, 510253 – 510256, 510258 – 510262, 510266, 510267, 510270 – 510275, 510278 – 510282)",39.6,0,"grey"
"Одеська область",143,"Білгород-Дністровський, Саратський, Татарбунарський райони, місто Білгород-Дністровський (з населеними пунктами Білгород-Дністровської міської ради)",141,"місто Білгород-Дністровський, Білгород-Дністровський, Татарбунарський райони, частина Кілійського району (виборчі дільниці № 510407 – 510423, 510425 – 510428, 510431, 510435, 510439, 510440)",39.6,0,"grey"
"Одеська область",144,"Арцизький, Болградський, Ренійський, Тарутинський райони",142,"Арцизький, Саратський, Тарутинський райони, частина Болградського (виборчі дільниці № 510283 – 510290, 510296, 510298 –510315, 510317, 510318), частина Кілійського (виборчі дільниці № 510424, 510429, 510430, 510432 – 510434, 510436 – 510438) районів",39.6,0,"grey"
"Одеська область",145,"Ізмаїльський, Кілійський райони, місто Ізмаїл",143,"місто Ізмаїл, Ізмаїльський, Ренійський райони, частина Болградського району (виборчі дільниці № 510291 – 510295, 510297, 510316)",39.6,0,"grey"
"Полтавська область",146,"Київський, Ленінський райони в місті Полтаві",144,"Ленінський, Октябрський райони міста Полтави",41.9,-6.4,"grey"
"Полтавська область",147,"Полтавський район, Октябрський район у місті Полтаві",145,"Київський район міста Полтави, Котелевський, Полтавський райони",41.9,-6.4,"grey"
"Полтавська область",148,"Автозаводський, Крюківський райони в місті Кременчук",146,"частина Автозаводського району (виборчі дільниці № 531040 –531085, 531099, 531100), Крюківський район міста Кременчука",41.9,-6.4,"grey"
"Полтавська область",150,"Великобагачанський, Диканський, Зіньківський, Котелевський, Миргородський, Шишацький райони, місто Миргород",147,"місто Миргород, Диканський, Зіньківський, Миргородський, Решетилівський, Шишацький райони",41.9,-6.4,"grey"
"Полтавська область",149,"Лубенський, Оржицький, Семенівський, Хорольський райони, місто Лубни",148,"місто Лубни, Великобагачанський, Оржицький, Семенівський, Хорольський райони, частина Лубенського району (виборчі дільниці № 530474 – 530494, 530504 – 530506, 530522 – 530531)",41.9,-6.4,"grey"
"Полтавська область",152,"Карлівський, Кобеляцький, Машівський, Новосанжарський, Решетилівський, Чутівський райони",149,"Карлівський, Кобеляцький, Козельщинський, Машівський, Новосанжарський, Чутівський райони",41.9,-6.4,"grey"
"Полтавська область",151,"Глобинський, Козельщинський, Кременчуцький райони, місто Комсомольськ",150,"місто Комсомольськ, частина Автозаводського району міста Кременчука (виборчі дільниці № 531086 – 531098), Глобинський, Кременчуцький райони",41.9,-6.4,"grey"
"Полтавська область",153,"Гадяцький, Гребінківський, Лохвицький, Пирятинський, Чорнухинський райони",151,"Гадяцький, Гребінківський, Лохвицький, Пирятинський, Чорнухинський райони, частина Лубенського району (виборчі дільниці № 530495 – 530503, 530507 – 530521)",41.9,-6.4,"grey"
"Рівненська область",154,"місто Рівне",152,"частина міста Рівного (виборчі дільниці № 560901 – 560913, 560915 – 560974, 560984 – 561004)",36.9,2,"orange"
"Рівненська область",155,"Гощанський, Корецький, Острозький, Рівненський райони, місто Острог",153,"місто Острог, частина міста Рівного (виборчі дільниці № 560975 – 560983), Гощанський, Корецький, Острозький, Рівненський райони",36.9,2,"orange"
"Рівненська область",156,"Демидівський, Дубенський, Здолбунівський, Млинівський, Радивилівський райони, місто Дубно",154,"місто Дубно, Демидівський, Дубенський, Здолбунівський, Млинівський, Радивилівський райони",36.9,2,"orange"
"Рівненська область",157,"Володимирецький, Дубровицький, Зарічненський, Рокитнівський райони, місто Кузнецовськ",155,"місто Кузнецовськ, Володимирецький, Дубровицький, Зарічненський, Рокитнівський райони",36.9,2,"orange"
"Рівненська область",158,"Березнівський, Костопільський, Сарненський райони",156,"Березнівський, Костопільський, Сарненський райони",36.9,2,"orange"
"Сумська область",159,"Зарічний, Ковпаківський райони в місті Сумах",157,"Ковпаківський район, частина Зарічного району міста Сум (виборчі дільниці № 590884 – 590895, 590926 – 590943, 591015), село Піщане Сумської міської ради з населеними пунктами Піщанської сільської ради",42.3,-8.4,"grey"
"Сумська область",160,"Білопільський, Лебединський, Сумський райони, місто Лебедин",158,"частина Зарічного району міста Сум (виборчі дільниці № 590896 – 590925, 590944 – 590946), Білопільський, Краснопільський, Сумський райони",42.3,-8.4,"grey"
"Сумська область",161,"Глухівський, Середино-Будський, Шосткинський, Ямпільський райони, міста Глухів, Шостка",159,"місто Глухів, Глухівський, Путивльський, Середино-Будський, Ямпільський райони, частина Кролевецького (виборчі дільниці № 590260 –590274, 590276 – 590278, 590280, 590282 – 590284, 590287, 590288, 590291, 590295 – 590299), частина Конотопського (виборчі дільниці № 590176, 590177, 590181 – 590183, 590185, 590186, 590188, 590190 – 590192, 590196 –590198, 590210, 590213), частина Шосткінського (виборчі дільниці № 590679 – 590688, 590694 – 590699) районів",42.3,-8.4,"grey"
"Сумська область",162,"Конотопський, Кролевецький, Путивльський райони, місто Конотоп",160,"міста Конотоп, Шостка, частина Конотопського (виборчі дільниці № 590179, 590180, 590200, 590207, 590208), частина Кролевецького (виборчі дільниці № 590275, 590279, 590281, 590285, 590286, 590289, 590290, 590292 – 590294), частина Шосткінського (виборчі дільниці № 590675 –590678, 590689 – 590693, 590700 – 590703) районів",42.3,-8.4,"grey"
"Сумська область",163,"Буринський, Липоводолинський, Недригайлівський, Роменський райони, місто Ромни",161,"місто Ромни, Буринський, Липоводолинський, Недригайлівський, Роменський райони, частина Конотопського району (виборчі дільниці № 590172 – 590175, 590178, 590184, 590187, 590189, 590193 – 590195, 590199, 590201 – 590206, 590209, 590211, 590212, 590214 –590218)",42.3,-8.4,"grey"
"Сумська область",164,"Великописарівський, Краснопільський, Охтирський, Тростянецький райони, місто Охтирка",162,"міста Лебедин, Охтирка, Великописарівський, Лебединський, Охтирський, Тростянецький райони",42.3,-8.4,"grey"
"Тернопільська область",165,"місто Тернопіль",163,"частина міста Тернополя (виборчі дільниці № 611096 – 611181)",39.9,-3.2,"orange"
"Тернопільська область",166,"Збаразький, Кременецький, Лановецький, Підволочиський, Шумський райони",164,"Збаразький, Лановецький, Підволочиський, Шумський райони, частина Кременецького району (виборчі дільниці № 610544 – 610552, 610554 – 610587, 610591, 610592, 610596 – 610604, 610607, 610609, 610610, 610613 – 610616)",39.9,-3.2,"orange"
"Тернопільська область",167,"Бережанський, Зборівський, Козівський, Підгаєцький, Тернопільський райони",165,"частина міста Тернополя (виборчі дільниці № 611092 – 611095), Бережанський, Зборівський, Козівський, Підгаєцький, Тернопільський райони, частина Кременецького району (виборчі дільниці № 610542, 610543, 610553, 610588 – 610590, 610593 – 610595, 610605, 610606, 610608, 610611, 610612)",39.9,-3.2,"orange"
"Тернопільська область",168,"Бучацький, Гусятинський, Монастириський, Теребовлянський райони",166,"Бучацький, Гусятинський, Монастириський, Теребовлянський райони",39.9,-3.2,"orange"
"Тернопільська область",169,"Борщівський, Заліщицький, Чортківський райони, місто Чортків",167,"місто Чортків, Борщівський, Заліщицький, Чортківський райони",39.9,-3.2,"orange"
"Харківська область",170,"Дзержинський район у місті Харкові",168,"Дзержинський район міста Харкова",41.4,-2.2,"blue"
"Харківська область",171,"Київський район у місті Харкові",169,"Київський район, частина Московського району міста Харкова (виборчі дільниці № 631415 – 631421, 631481 – 631484, 631525 – 631527)",41.4,-2.2,"blue"
"Харківська область",172,"Московський район у місті Харкові",170,"частина Московського району міста Харкова (виборчі дільниці № 631422 – 631446, 631451 – 631461, 631467 – 631480, 631485 – 631492, 631506 – 631524, 631528 – 631532)",41.4,-2.2,"blue"
"Харківська область",173,"Ленінський, Фрунзенський райони в місті Харкові",171,"Фрунзенський район, частина Комінтернівського (виборчі дільниці № 631354 – 631372), частина Орджонікідзевського (виборчі дільниці № 631533 – 631536) районів міста Харкова",41.4,-2.2,"blue"
"Харківська область",174,"Орджонікідзевський район у місті Харкові",172,"частина Московського (виборчі дільниці № 631447 – 631450, 631462 – 631466, 631493 – 631505), частина Орджонікідзевського (виборчі дільниці № 631537 – 631590, 631692, 631693) районів міста Харкова",41.4,-2.2,"blue"
"Харківська область",175,"Комінтернівський район у місті Харкові",173,"Червонозаводський район, частина Комінтернівського району міста Харкова (виборчі дільниці № 631316 – 631343, 631345 – 631353, 631373 – 631375, 631689)",41.4,-2.2,"blue"
"Харківська область",176,"Жовтневий, Червонозаводський райони в місті Харкові",174,"Жовтневий, Ленінський райони міста Харкова",41.4,-2.2,"blue"
"Харківська область",177,"Богодухівський, Дергачівський, Золочівський, Краснокутський райони",175,"місто Люботин, Дергачівський район, частина Харківського району (виборчі дільниці № 630810 – 630813, 630817 – 630819, 630829 – 630831, 630833 – 630836, 630840 – 630844, 630848 – 630859, 630874 – 630879, 630881)",41.4,-2.2,"blue"
"Харківська область",178,"Великобурлуцький, Вовчанський, Дворічанський, Печенізький, Чугуївський райони, місто Чугуїв",176,"місто Чугуїв, Великобурлуцький, Вовчанський, Дворічанський, Печенізький, Чугуївський райони",41.4,-2.2,"blue"
"Харківська область",179,"Борівський, Ізюмський, Куп'янський, Шевченківський райони, міста Ізюм, Куп'янськ",177,"міста Ізюм, Куп’янськ, Борівський, Ізюмський, Куп’янський, Шевченківський райони",41.4,-2.2,"blue"
"Харківська область",180,"Балаклійський, Барвінківський, Зміївський райони",178,"місто Первомайський, Балаклійський, Барвінківський, Близнюківський, Первомайський райони",41.4,-2.2,"blue"
"Харківська область",181,"Близнюківський, Лозівський, Первомайський, Сахновщинський райони, міста Лозова, Первомайський",179,"місто Лозова, Зачепилівський, Кегичівський, Красноградський, Лозівський, Сахновщинський райони",41.4,-2.2,"blue"
"Харківська область",182,"Валківський, Зачепилівський, Кегичівський, Коломацький, Красноградський, Нововодолазький райони",180,"Богодухівський, Валківський, Золочівський, Коломацький, Краснокутський, Нововодолазький райони, частина Харківського району (виборчі дільниці № 630820 – 630822)",41.4,-2.2,"blue"
"Харківська область",183,"Харківський район, місто Люботин",181,"Зміївський район, частина Харківського району (виборчі дільниці № 630779 – 630809, 630823 – 630828, 630832, 630837 – 630839, 630846, 630847, 630860 – 630873, 630880, 630882, 630883)",41.4,-2.2,"blue"
"Херсонська область",184,"Білозерський район, Комсомольський район у місті Херсоні (з населеними пунктами Комсомольської районної в місті Херсоні ради)",182,"частина Дніпровського (виборчі дільниці № 650622 – 650653, 650662 – 650670), частина Суворовського (виборчі дільниці № 650726 – 650768, 650773 – 650782) районів міста Херсона з населеними пунктами Дніпровської та Суворовської районних у місті Херсоні рад",40.2,-4.4,"grey"
"Херсонська область",185,"Дніпровський, Суворовський райони в місті Херсоні (з населеними пунктами Дніпровської та Суворовської районних у місті Херсоні рад)",183,"Комсомольський район, частина Дніпровського (виборчі дільниці № 650654 – 650661, 650671), частина Суворовського (виборчі дільниці № 650769 – 650772) районів міста Херсона з населеними пунктами Дніпровської, Суворовської та Комсомольської районних у місті Херсоні рад, Білозерський район.",40.2,-4.4,"grey"
"Херсонська область",185,"Дніпровський, Суворовський райони в місті Херсоні (з населеними пунктами Дніпровської та Суворовської районних у місті Херсоні рад)",184,"місто Нова Каховка з населеними пунктами Новокаховської міської ради, Бериславський, Великолепетиський, Великоолександрівський, Високопільський, Горностаївський, Нововоронцовський райони",40.2,-4.4,"grey"
"Херсонська область",188,"Великолепетиський, Верхньорогачицький, Горностаївський, Каховський, Нижньосірогозький райони, місто Каховка",185,"місто Каховка, Верхньорогачицький, Генічеський, Іванівський, Каховський, Нижньосірогозький, Новотроїцький райони, частина Чаплинського району (виборчі дільниці № 650534 – 650538, 650544 – 650546, 650548, 650562, 650563).",40.2,-4.4,"grey"
"Херсонська область",187,"Голопристанський, Каланчацький, Скадовський, Цюрупинський райони, місто Гола Пристань",186,"місто Гола Пристань, Голопристанський, Каланчацький, Скадовський, Цюрупинський райони, частина Чаплинського району (виборчі дільниці № 650539, 650541 – 650543, 650547, 650549 – 650561)",40.2,-4.4,"grey"
"Хмельницька область",190,"місто Хмельницький",187,"частина міста Хмельницького (виборчі дільниці № 681455 – 681536, 681560)",40.9,-4.4,"grey"
"Хмельницька область",190,"місто Хмельницький",188,"частина міста Хмельницького (виборчі дільниці № 681427 –681454, 681559), Волочиський, Хмельницький райони",40.9,-4.4,"grey"
"Хмельницька область",195,"міста Нетішин, Славута, Шепетівка, Славутський, Шепетівський райони",189,"місто Нетішин, Білогірський, Ізяславський, Красилівський, Теофіпольський райони",40.9,-4.4,"grey"
"Хмельницька область",196,"місто Старокостянтинів, Красилівський, Полонський, Старокостянтинівський райони",190,"міста Славута, Шепетівка, Полонський, Славутський, Шепетівський райони",40.9,-4.4,"grey"
"Хмельницька область",193,"місто Кам'янець-Подільський, Кам'янець-Подільський, Чемеровецький райони",191,"місто Старокостянтинів, Віньковецький, Деражнянський, Летичівський, Старокостянтинівський, Старосинявський райони",40.9,-4.4,"grey"
"Хмельницька область",194,"Віньковецький, Городоцький, Дунаєвецький, Новоушицький райони",192,"Городоцький, Дунаєвецький, Чемеровецький, Ярмолинецький райони",40.9,-4.4,"grey"
"Хмельницька область",193,"місто Кам'янець-Подільський, Кам'янець-Подільський, Чемеровецький райони",193,"місто Кам’янець-Подільський, Кам’янець-Подільський, Новоушицький райони",40.9,-4.4,"grey"
"Черкаська область",197,"Черкаський район, Придніпровський район у місті Черкасах",194,"Придніпровський район, частина Соснівського району міста Черкас (виборчі дільниці № 711039 – 711042, 711044, 711049, 711080 –711100)",42,-6.5,"grey"
"Черкаська область",198,"Соснівський район у місті Черкасах",195,"частина Соснівського району міста Черкас (виборчі дільниці № 711043, 711045 – 711048, 711050 – 711067, 711074 – 711079), Драбівський, Чигиринський, Чорнобаївський райони",42,-6.5,"grey"
"Черкаська область",197,"Черкаський район, Придніпровський район у місті Черкасах",196,"Городищенський, Катеринопільський, Корсунь-Шевченківський, Шполянський райони, частина Канівського (виборчі дільниці № 710263, 710266, 710274, 710280 – 710285, 710287, 710289 –710291, 710298 – 710303), частина Лисянського (виборчі дільниці № 710403, 710404, 710411, 710412, 710420, 710421, 710433), частина Тальнівського (виборчі дільниці № 710563 – 710565, 710567, 710569 – 710579, 710582 –710585, 710587 – 710590, 710593 – 710597) районів",42,-6.5,"grey"
"Черкаська область",200,"Драбівський, Золотоніський, Канівський, Чорнобаївський райони, міста Золотоноша, Канів",197,"міста Золотоноша, Канів, частина Соснівського району міста Черкас (виборчі дільниці № 711030 – 711038, 711068 – 711073), Золотоніський район, частина Канівського (виборчі дільниці № 710264, 710265, 710267 –710273, 710275 – 710279, 710286, 710288, 710292 – 710297, 710304 – 710309), частина Черкаського (виборчі дільниці № 710691, 710696, 710697, 710700, 710701, 710706, 710709, 710710, 710711 – 710713, 710716 – 710719, 710722 –710725, 710735, 710736) районів",42,-6.5,"grey"
"Черкаська область",201,"місто Сміла, Кам'янський, Смілянський, Чигиринський райони",198,"місто Сміла, Кам’янський, Смілянський райони, частина Черкаського району (виборчі дільниці № 710690, 710692 – 710695, 710698, 710699, 710702 – 710705, 710707, 710708, 710714, 710715, 710720, 710721, 710726 – 710734, 710737)",42,-6.5,"grey"
"Черкаська область",199,"Городищенський, Корсунь-Шевченківський, Лисянський, Шполянський райони",199,"місто Ватутіне, Жашківський, Звенигородський, Маньківський райони, частина Лисянського (виборчі дільниці № 710397 – 710402, 710405 –710410, 710413 – 710419, 710422 – 710432, 710434, 710435), частина Тальнівського (виборчі дільниці № 710548 – 710562, 710568, 710580, 710586, 710591, 710592) районів",42,-6.5,"grey"
"Черкаська область",203,"місто Умань, Монастирищенський, Уманський, Христинівський райони",200,"місто Умань, Монастирищенський, Уманський, Христинівський райони, частина Тальнівського району (виборчі дільниці № 710566, 710581)",42,-6.5,"grey"
"Чернівецька область",202,"місто Ватутіне, Жашківський, Звенигородський, Катеринопільський, Маньківський, Тальнівський райони",201,"Першотравневий, Шевченківський райони, частина Садгірського району міста Чернівців (виборчі дільниці № 730480, 730487 –730492)",38.5,1.6,"grey"
"Чернівецька область",205,"Сторожинецький, Вижницький, Кіцманський, Путильський райони",202,"Вижницький, Кіцманський, Путильський райони, частина Сторожинецького району (виборчі дільниці № 730338 – 730351, 730355 –730361, 730364 – 730366, 730368 – 730375, 730378, 730381 – 730387, 730390 –730394)",38.5,1.6,"grey"
"Чернівецька область",204,"місто Чернівці",203,"частина Садгірського району міста Чернівців (виборчі дільниці № 730481 – 730486), Герцаївський, Глибоцький, Новоселицький райони, частина Сторожинецького району (виборчі дільниці № 730352 – 730354, 730362, 730363, 730367, 730376, 730377, 730379, 730380, 730388, 730389)",38.5,1.6,"grey"
"Чернівецька область",207,"місто Новодністровськ, Хотинський, Заставнівський, Сокирянський, Кельменецький райони",204,"місто Новодністровськ, Заставнівський, Кельменецький, Сокирянський, Хотинський райони",38.5,1.6,"grey"
"Чернігівська область",208,"Деснянський, Новозаводський райони в місті Чернігові",205,"Деснянський район, частина Новозаводського району міста Чернігова (виборчі дільниці № 741086, 741096 – 741099)",43,-10.5,"grey"
"Чернігівська область",209,"Городнянський, Ріпкинський, Чернігівський, Щорський райони",206,"частина Новозаводського району міста Чернігова (виборчі дільниці № 741061 – 741085, 741087 – 741095, 741100 – 741108), Ріпкинський, Чернігівський райони",43,-10.5,"grey"
"Чернігівська область",213,"Коропський, Корюківський, Менський, Новгород-Сіверський, Семенівський, Сосницький райони, місто Новгород-Сіверський",207,"місто Новгород-Сіверський, Городнянський, Коропський, Корюківський, Новгород-Сіверський, Семенівський, Сосницький, Щорський райони",43,-10.5,"grey"
"Чернігівська область",210,"Бобровицький, Козелецький, Куликівський, Носівський райони",208,"Бахмацький, Борзнянський, Куликівський, Менський, Талалаївський райони, частина Ічнянського району (виборчі дільниці № 740197 – 740201, 740204, 740208, 740209, 740215, 740218, 740221, 740225, 740228, 740231, 740232, 740235, 740236, 740239, 740240)",43,-10.5,"grey"
"Чернігівська область",211,"місто Ніжин, Бахмацький, Борзнянський, Ніжинський райони",209,"місто Ніжин, Варвинський, Ніжинський, Носівський, Срібнянський райони, частина Ічнянського району (виборчі дільниці № 740202, 740203, 740205 – 740207, 740210, 740212 – 740214, 740216, 740217, 740219, 740220, 740222 – 740224, 740226, 740227, 740229, 740230, 740233, 740234, 740237, 740238)",43,-10.5,"grey"
"Чернігівська область",212,"місто Прилуки, Варвинський, Ічнянський, Прилуцький, Срібнянський, Талалаївський райони",210,"місто Прилуки, Бобровицький, Козелецький, Прилуцький райони",43,-10.5,"grey"
"м. Київ",214,"Голосіївський район у місті Києві",211,"Голосіївський район міста Києва",39.2,6.7,"orange"
"м. Київ",215,"Дарницький район у місті Києві",212,"частина Дарницького району міста Києва (виборчі дільниці № 800086 – 800156, 800205 – 800214, 801073, 801074, 801076 – 801078, 801082)",39.2,6.7,"orange"
"м. Київ",216,"Деснянський район у місті Києві",213,"частина Деснянського району міста Києва (виборчі дільниці № 800215 – 800227, 800236 – 800243, 800254 – 800270, 800273 – 800304, 801068 – 801071, 801079, 801080)",39.2,6.7,"orange"
"м. Київ",217,"Дніпровський район у місті Києві",214,"частина Дніпровського району міста Києва (виборчі дільниці № 800350 – 800353, 800366, 800369 – 800407, 800431 – 800434, 800438 – 800470)",39.2,6.7,"orange"
"м. Київ",216,"Деснянський район у місті Києві",215,"частина Деснянського (виборчі дільниці № 800228 – 800235, 800244 – 800253, 800271, 800272, 800305 – 800341, 801072, 801081), частина Дніпровського (виборчі дільниці № 800342 – 800349, 800354 – 800365, 800367, 800368) районів міста Києва",39.2,6.7,"orange"
"м. Київ",215,"Дарницький район у місті Києві",216,"частина Дарницького (виборчі дільниці № 800157 – 800204, 801075), частина Дніпровського (виборчі дільниці № 800408 – 800430, 800435 –800437) районів міста Києва",39.2,6.7,"orange"
"м. Київ",218,"Оболонський район у місті Києві",217,"частина Оболонського району міста Києва (виборчі дільниці № 800471 –800547, 800577, 800578)",39.2,6.7,"orange"
"м. Київ",218,"Оболонський район у місті Києві",218,"частина Оболонського (виборчі дільниці № 800548 – 800576, 800579 – 800582), частина Святошинського (виборчі дільниці № 800781 –800822) районів міста Києва",39.2,6.7,"orange"
"м. Київ",221,"Святошинський район у місті Києві",219,"частина Святошинського району міста Києва (виборчі дільниці № 800702 –800780, 800823 – 800827)",39.2,6.7,"orange"
"м. Київ",220,"Подільський район у місті Києві",220,"Подільський район міста Києва",39.2,6.7,"orange"
"м. Київ",219,"Печерський район у місті Києві",221,"Печерський район, частина Солом’янського (виборчі дільниці № 800828 – 800843, 800850, 800851, 800865, 800869 – 800871, 800873, 800877 – 800885, 800887 – 800891, 800950 – 800956, 800958, 801086), частина Шевченківського (виборчі дільниці № 800961 – 800964, 800966, 800967, 800975) районів міста Києва",39.2,6.7,"orange"
"м. Київ",222,"Солом'янський район у місті Києві",222,"частина Солом’янського району міста Києва (виборчі дільниці № 800844 –800849, 800852 – 800864, 800866 – 800868, 800872, 800874 –800876, 800886, 800892 – 800949, 800957)",39.2,6.7,"orange"
"м. Київ",223,"Шевченківський район у місті Києві",223,"частина Шевченківського району міста Києва (виборчі дільниці № 800965, 800968 – 800974, 800976 – 801066)",39.2,6.7,"orange"
"м. Севастополь",224,"Балаклавський, Гагарінський райони в місті Севастополі (з населеними пунктами Балаклавської районної в місті Севастополі ради)",224,"Балаклавський район з населеними пунктами Балаклавської районної у місті Севастополі ради, Гагарінський район, частина Ленінського району міста Севастополя (виборчі дільниці № 850120 – 850122, 850131 –850135)",41,NA,"blue"
"м. Севастополь",225,"Ленінський, Нахімовський райони в місті Севастополі (з населеними пунктами Нахімовської районної в місті Севастополі ради)",225,"Нахімовський район з населеними пунктами Нахімовської районної у місті Севастополі ради, частина Ленінського району міста Севастополя (виборчі дільниці № 850088 – 850119, 850123 – 850130, 850136 – 850144)",41,NA,"blue"
